Разговоры о роботах
/////Разработка системы интернета вещей для умного дома
/////Репликация и шардирование
/////Управление доступом в PostgreSQL
/////Нормализация схемы БД
/////Разработка индексов для схемы PostgreSQL
/////Преимущества и недостатки SPA
/////Технологии разработки веб-приложений
/////Разработка браузерной игры змейка
/////Разработка графического веб движка
/////Введение в управление проектами
/////Agile
/////Составление требований для проекта усыновления 
/////Проектирование проекта по усыновлению
/////Docker
/////Контейнеризация и оркестрация
/////Развертывание neo4j, postgres, redis, mongo, elastic
/////Оркестрирование развернутых контейнеров
/////Модульное тестирование
/////Виды тестирования
/////Черный ящик
/////Интеграционное тестирование
/////Хеширование
/////Роль хеш-функций в криптографии
/////Реализация SHA-256 на C++
/////Реализация MD-5 на C++
/////Системы мониторинга информационной безопасности
/////Угрозы ИБ
/////Разработка системы авторизации
/////Разработка ПО для перебора паролей методом грубой силы
/////Распределение прав в ИС
/////Аудит ИБ в системах Linux
/////Аудит безопасности в РСУБД
/////ПРава доступа в Apache Cassandra
/////Криптография
/////Криптостойкость хешей и паролей
/////Сравнение хеш функций
/////Сравнение алгоритмов шифрования
/////Подходы к обучению персонала
/////Основные детали обучения персонала
/////Обучение персонала не открывать письма от неизвестных отправителей
/////Выявление дефектных сотрудников
/////Проектирование систем
/////Радиосистемы 
/////Сборка системы радиосвязи
/////Обмен зашифрованной информацией по радио
/////Антенные системы
/////Антенные системы
/////Сборка мега антены
/////Разборка мега антены
/////Создание радиочастотных устройств
/////Оптимизация радиочастотных устройств
/////Оптимизация радио
/////Изоляция от помех
/////Введение в тестирование
/////Радиооборудование. Виды и назначение
/////Тестирование оборудования
/////Тестирование радиооборудования
/////Системы навигации
/////Системы связи
/////Разработка системы радионавигации
/////Внедрение системы радионавигации
/////Обработка сигналов
/////Исследование сигналов
/////Управление сигналом в условии вакуума 
/////Поиск НЛО методом черных космо-сигналов
/////Создание компьютерных сетей
/////Компьютерные сети
/////Конфигурирование сетевого оборудования
/////Балансировка нагрузки в сети
/////Системы видеосвязи
/////Системы трансляции видео
/////Разработка системы трансляции видео
/////Разработка системы верификации трансляций
/////Определение дефектов оборудования
/////Сетевое оборудование
/////Установка прошивки сетевого оборудования
/////Обслуживание сетевого оборудования
/////Системы телевидения
/////Цифровое и аналоговое телевидение
/////Проектирование системы цифрового телевидения
/////Построение системы цифрового телевидения
/////Системное программное обеспечение
/////Электронные устройства связи
/////Разработка устройства электронной связи
/////Разработка драйверов управления электронным устройством связи
/////Методы оптимизации печатных плат
/////Создание печатных плат
/////Разработка схемы печатной платы э.с.с.
/////Разработка печатной платы э.с.с.
/////Физика радио
/////Настройка р.с.с
/////Проектирование РСС
/////Разработка РСС
/////Разработка технологий ЭС
/////Технологии ЭС
/////Внедрение нового решения ЭС в существующую систему
/////Разработка ЭС
/////Методы повышения надежности ЭСС
/////Методы повышения надежности ЭСС
/////Исследование надежности и качества существу
/////Разработка методов повышения надежности ЭСС
/////Н-Э компоненты
/////Электронные устройства связи
/////Исследования Н-Э компонентов
/////Разработка Н-Э компонента
/////Микроэлектронные схемы
/////Проектирование схем
/////Разработка М-Э схемы для ЭС 
/////Разработка М/Э ЭС
/////Наноматериалы
/////Наноматериалы в ЭС
/////Исследование областей применения наноматериалов в ЭС
/////Исследование наноматериалов
/////Нанофотоника
/////Электронные устройства связи
/////Исследование нанофотоники 
/////Улучшение производительности ЭУС
/////Устройства связи
/////Наноэлектронные устройства связи
/////Создание НЭУС
/////Тестирование НЭУС
/////Контроль параметров ЭСС
/////Приборы контроля ЭСС
/////Разработка прибора ЭСС
/////Контроль параметров прибора ЭСС
/////НЭКУС
/////Проектирование приборов тестирования связи
/////Разработка приборов тестирования связи
/////Тестирование наноэлектронных компонентов
/////Диагностика ЭУС
/////Приборы диагностики 
/////Исследование приборов диагностики
/////Дигностика приборов и обслуживание
/////Мониторинг качества сигнала в ЭС
/////Сигналы в ЭС
/////Разработка монитора ЭС
/////Разработка монитора сигналов В ЭС
/////Анализ работы сетей
/////Оптимизация работы сетей
/////Разработка приборов анализа сетей на основе нанотехнологий
/////Разработка приборов оптимизации сетей на основе нанотехнологий
/////Биометрические устройства
/////Биосенсоры
/////Разработка устройства мониторинга здоровья
/////Разработка программного обеспечения для устройства мониторинга здоровья
/////Биоинженерия
/////Генная терапия
/////Исследование генов на тестовом сете
/////Применение методов биоинженерии на лягушках
/////Системы реабилетации
/////Биомедецинские системы
/////Разработка системы физической терапии
/////Исследование биомедецинских систем
/////Трансплантация 
/////Биотех. устройства 
/////Проектирование устройств для трансплантации 
/////Проектирование устройства тканевой инженерии
/////Мониторинг жизненных функций
/////Биомедицинские системы мониторинга 
/////Разработка системы поддержания жиз. фун. организма
/////Разработка системы мониторинга общего состояния организма
/////Лазеры
/////Лазерные системы
/////Исследование применения лазеров в медицине
/////Исследование применения лазеров в хирургии
/////Косметология
/////Дерматология
/////Создание лазерного прибора для косметологии
/////Проектирование лазера для удаления татуировок
/////Требования к стерильности в мед учреждениях
/////Общие требования к лазерным системам
/////Проектирование лазерной системы дезинфекции
/////Проектирование примитивной лазерной системы
/////Заболевания глаз
/////Катаракта и глаукома
/////Удаление катаракты лазером
/////Удаление глаукомы лазером
/////Лазерные технологии
/////Биомедицинская оптика
/////Разработка системы образования изображений лазером
/////Реализация системы поиска цели лазерным средством
/////Механизмы
/////Механизмы и машины
/////Разработка концепции мшины
/////Разработка базового механизма
/////Законы сохранения в механике
/////Механическое движение незримого
/////Опыт над камнем
/////Опыт над деревом
/////Рассчет сопротивления
/////Сопротивление материалов
/////РАссчет значений в новой системе поиска
/////Поиск оптимального значения при неизвестных входных данных
/////Машиностроение
/////Технологии машиностроение
/////Построение схемы примитивной машины
/////Рассчет потребления энергии по чертежам
/////Методы сборки машин
/////Конструирование машин
/////Разработка левой части легкового автомобиля
/////Разработка инструкции эксплуатации разработанного чуда
/////Производственные системы
/////Автоматизация системы
/////Разработка системы автоматизации №1 в мире
/////Разработка системы автоматизации №2 в мире
/////Роботы
/////Робототехника
/////Проектирование робота пылесоса
/////Разработка робота пылесоса
/////Автоматизация
/////Компьютерные технологии
/////Автоматизация подсчета документов
/////Автоматизация автоматизации
/////Проектирование систем
/////Автоматизация систем 
/////Проектирование автоматизированной системы
/////Разработка автоматизированной системы
/////Техника и механика
/////Техническая механика
/////Эксперимент в области технической механики
/////Эксперимент в обл. тех. механики №2
/////Электроника
/////Электротехника
/////Лаб. работа в по электротехнике
/////Лаб. работа по электронике
/////Мехатроника
/////Роботы и робототехника
/////Автоматизация процессов в мехатронике
/////Автоматизация процессов в робототехнике
/////Органические вещества
/////Технология органических веществ
/////ЛР Технология органических веществ №1
/////ЛР Технология органических веществ №2
/////Химическая промышленность
/////Технологические процессы
/////Разработка технологических процессов
/////Разработка технологических процессов в химической промышленности
/////Биология
/////Молекулярная биология
/////Выращивание молекул
/////Исследование неизвестного в молекулярной биологии
/////Генетика
/////Генетика
/////Генетический эксперимент над мышами
/////Генетический эксперимент над лягушками
/////Микробиология
/////Микробиология
/////ЛР по Микробиологии
/////ЛР по Микробиологии
/////Биотехнические процессы
/////Биотехнические процессы
/////ЛР Биотехнические процессы
/////ЛР Биотехнические процессы2
/////Защита информации
/////Техническая защита информации
/////Разработка системы технической зашиты информации
/////Разработка системы программно-технической защиты информации
/////Криптография и информация
/////Криптография в современном мире
/////Хеширование информации
/////Разработка блочного шифра
/////Информационные системы
/////Уязвимости в ИС
/////Анализ уязвимостей ИС
/////Диагностика уязвимостей ИС
/////Мониторинг ИБ
/////Контроль ИБ
/////Проектирование системы мониторинга ИБ
/////Разработка системы мониторинга ИБ
/////Материалы
/////Механические свойства материалов
/////Исследование свойств материалов
/////Исследование механических свойств материалов
/////Микроструктура материалов
/////Структура материалов
/////Исследование структуры материалов
/////Исследование микроструктуры материалов
/////Материалы
/////Свойства матеиалов
/////Исследование свойств материалов
/////Исследование теплофизических свойств материалов
/////Коррозия
/////Защита материалов
/////Реализация системы защиты материаллов от коррозии 
/////Реализация системы защиты материалов от солнца
/////Метрология
/////Стандартизация
/////Стандартизация систем ночного видения
/////Стандартизация систем обмена криптовалютой
/////Приборы метрологии
/////Методы метрологи
/////Разработка метода метрологии
/////Разработка прибора метрологии
/////Сертификация
/////Система качествап
/////Разработка системы качества
/////Разработка системы сертификации
/////Международные регламенты
/////Международные стандарты
/////Сравнение международных и отечественных регламентов
/////Сравнение международных и отечественных стандартов
/////Испытания
/////Оценка соответствия
/////Проведение оценки соответствия качеству огурцов
/////Проведение испытания огурцов
/////Инновация
/////Инновационные продукты
/////Исследование разработки инновационных продуктов
/////Исследование технологии разработки иновационных продуктов
/////Инновация 
/////ИТ в инновациях
/////Реализация работы ИС в инновационном проекте
/////Исследования вклада ИС в инновационные проекты
/////Проектирование инноваций
/////Коммерция и инновации
/////Коммерциализация инновации
/////Проектирование и коммерциализация инновации
/////Инновационные проекты
/////Инновационные процессы
/////Управление инновационным проектом
/////Управление инновационным процессом
/////Микросистемная техника
/////Наноматериалы
/////Применение наноматериалов в технике
/////Применение наноматериалов в микросистемной технике
/////Наноэлектроника
/////Нанофотоника
/////ЛР по наноэлектронике и нанофотонике №1
/////ЛР по наноэлектронике и нанофотонике №2
/////Наномеханика
/////Наноробототехника
/////Рзаработка наноробота
/////Рзаработка наноробота с использованием методов наномеханики
/////Наночастицы
/////Нанотехнологии
/////Наночастицы в медицине
/////Нанотехнологии в медицине
/////Обработка дерева
/////Обработка металла
/////Применение технологий обработки дерева
/////Применение технологий обработки металла
/////Работа с текстилем
/////Работа с кожей
/////Применение технологий обработки дерева
/////Применение технологий обработки кожи
/////Обработка стекла
/////Обработка керамики
/////Применение технологий художественной обработки стекла
/////Применение технологий художественной обработки керамики
/////Тезнологии художественной обработки
/////Материалы в обл. художественной обработки
/////Применение совр. техн. в обл. худож. обр.
/////Применение совр. материалов в обл. худож. обр.
/////Микроэкономика
/////Микроэкономика
/////Построение модели взаимодействия 2х сущностей в микроэкономике
/////Построение медели взаимодействия 6и сущностей в микроэкономике
/////Фиатные деньги
/////Анализ финансов
/////Проведение анализа финансов методами статистики 
/////Проведение анализа финансов спец. методами
/////Экономика
/////Международные отношения
/////Построение системы мировой экономики
/////Оценка влияния мировой экономики на страны ближнего Востока
/////Менеджмент
/////Менеджмент
/////Оценка рисков в ситуации N
/////Направление персонала в русло прибыльной чакры
/////Менеджмент
/////Менеджмент финансов
/////Структурирование финансовой отчетности компании 
/////Поиск финансовых утечек в компании
/////Диаграма Ганта
/////SCRAM
/////Составление проектного плана
/////Составление технического задания проекта
/////Маркетинг
/////Продажи на мировом рынке
/////Разработка маркетингового плана
/////Разработка плана устранения конкурентов за счет рекламной акции
/////Управление персоналом
/////Управление персоналом
/////Практика управления персоналом
/////Практика управления персоналом 2
/////Найм персонала
/////Отбор персонала
/////Практика отбора персонала среди учащихся
/////Практика наема персонала среди учащихся
/////Методы оценки сотрудников
/////Методы аттестации сотрудников
/////Применение методов оценки сотрудников
/////Применение методов аттестации сотрудников
/////Мотивация персонала
/////Стимулирование персонала
/////Применение методов мотивации персонала
/////Применение методов стимуляции персонала
/////Управление развитием сотрудников
/////Управление обучением сотрудников
/////Практика развития сотрудников
/////Практика обучения сотрудников
/////Финансовый менеджмент в государственном секторе
/////Финансовый менеджмент в муниципальном секторе
/////Практика финансового менеджмента в гос. секторе
/////Практика финансового менеджмента в муниципальном секторе
/////Муниципальное управление
/////Государственное управление
/////Применение методов в гос. управлении
/////Применение методов в муниципальном управлении
/////Социальная политика
/////Социальное партнерство
/////Практика социальной политики в гос. управлении
/////Практика социальной политики в муниципальном управлении
/////Стратегическое управление
/////Стратегическое развитие
/////Практика стратегического управления в муниципальных организациях
/////Практика стратегического управления в государтсвенных организациях
/////Бизнес-анализ ИС
/////Проектирование ИС
/////Проектирование ИС сбора налогов на технологии блокчейн
/////Бизнас-анализ ИС сбора налогов на технологии блокчейн
/////СУБД
/////Управление базами данных 
/////Репликация MSSQL
/////Репликация PostgreSQL
/////Управление проектами
/////Управление проектами в БИ
/////Разработка диаграмы Ганта
/////Разработка карты рисков
/////Технологии защиты данных
/////Технологии обеспечения ИБ
/////Разработка политики доступа к данным
/////Внедрение существующих механизмов защиты данных в ИС
/////Уголовное право
/////Уголовное право
/////Обеспечение защиты клиента по статье ... УК РФ
/////Обеспечение защиты клиента по стать 2.. УК РФ
/////Конституционное право
/////Конституционное право
/////Сбор и анализ нововведений с новой Конституцией РФ
/////Выявление нарушений Конституционного права в деле №...
/////Административное право
/////Административное право
/////Составление списка правонарушений
/////Расширение списка правонарушений
/////Трудовое право
/////Трудовое право
/////Обеспечение защиты клиенту при нарушении его прав
/////Представление трудового права в виде дерева
/////Архиво
/////Ведение архива
/////Архивирование информации 
/////Проведение инвентаризации
/////Электронные документы
/////Электронный архив
/////Подпись документов при помощи ЭЦП
/////Формирование электронного архива
/////Управление информацией
/////Управление документацией
/////Практика управление информацией в трудных условиях
/////Практика упраления документацией в условиях неопределенности
/////Международные правовые акты
/////Отечественные правовые акты
/////Международные правовые акты в области документоведения
/////Международные правовые акты в области архивирования
/////Что такое дизайн
/////Основа дизайна как профессии
/////Дизайн логотипа парка
/////Дизайн дверной ручки
/////Графический дизайн в мультипликации
/////Графический дизайн в компьютерных играх
/////Отрисовка персонажа мультфильма
/////Отрисовка текстур для платформера
/////Подходы к дизайну веб-приложений
/////Веб-дизайн
/////Разработать дизайн интернет-магазина
/////Разработать дизайн новостного ресурса в сети интернет
/////Дизайн Desktop приложений
/////Дизайн мобильных приложений
/////Разработка дизайна desktop приложения мониторинга перелета птиц
/////Разработка дизайна мобильного приложения пиццерии
/////Дизайн пользовательского опыта
/////Дизайн пользовательского опыта
/////ЛР по UX №1
/////ЛР по UX №2
